城市,值
崇州市,1090
简阳市,2353
广汉市,549
什郝市,820
绵竹市,1246
江油市,2720
隆昌市,794
峨眉山市,1181
阊中市,1875
华签市,464
万源市,4053
马尔康市,6626
康定市,11486
西昌市,2657
清镇市,1387
盘州市,4056
赤水市,1852
仁怀市,1788
兴义市,2908
兴仁市,1778
凯里市,1570
都匀市,2285
福泉市,1692
安宁市,1301
宣威市,6053
腾冲市,5845
水富市,440
楚雄市,4433
个旧市,1587
开远市,1957
蒙自市,2228
弥勒市,4004
文山市,2959
景洪市,6959
大理市,1815
瑞函市,945
芒市,2901
泸水市,2938
香格里拉市,11419
兴平市,453
彬州市,1184
韩城市,1621
华阴市,817
神木市,7635
华亭市,1182
玉门市,13496
敦煌市,31200
临夏市,89
合作市,2091
玉树市,15411
格尔木市,119263
德令哈市,27700
茫崖市,49859
灵武市,3846
青铜峡市,2325
昌吉市,8215
阜康市,8529
博乐市,7990
阿拉山口市,1204
库尔勒市,7267
阿克苏市,15033
阿图什市,16151
喀什市,1059
和田市,585
伊宁市,761
奎屯市,1171
霍尔果斯市,1909
塔城而,4356
乌苏市,14394
阿勒泰市,10826
石河子市,460
阿拉尔市,6937
图木舒克市,2003
五家渠市,740
北屯市,911
铁门关市,563
